time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction,neutrino_mass_eV
0.000000000000000000017568,319999999999999900000000000000000000,99999998158157740000000000000000000000,100000050987953170000000000000000,99999947788337380000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000017690000000000002,319999999999999900000000000000000000,100000000001782310000000000000000000000,100000051339595780000000000000000,99999947428255550000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000017812000000000002,319999999999999900000000000000000000,99999998158181750000000000000000000000,100000051691235290000000000000000,99999947068176490000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000017934000000000002,319999999999999900000000000000000000,100000000001808040000000000000000000000,100000052042877900000000000000000,99999946708094660000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000018056000000000002,319999999999999900000000000000000000,99999998158207400000000000000000000000,100000052394517400000000000000000,99999946348015600000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000018178000000000002,319999999999999900000000000000000000,100000000001829520000000000000000000000,100000052746160010000000000000000,99999945987933770000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000018300000000000003,319999999999999900000000000000000000,99999998158228900000000000000000000000,100000053097799520000000000000000,99999945627854710000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000018422000000000003,319999999999999900000000000000000000,100000000001855430000000000000000000000,100000053449442130000000000000000,99999945267772880000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000018544,319999999999999900000000000000000000,99999998158254820000000000000000000000,100000053801081640000000000000000,99999944907693820000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000018666,319999999999999900000000000000000000,100000000001879390000000000000000000000,100000054152724250000000000000000,99999944547612000000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000018788,319999999999999900000000000000000000,99999998158278790000000000000000000000,100000054504363760000000000000000,99999944187532940000000000000000000,0.9999998874648379,0.785877208489073
0.00000000000000000001891,319999999999999900000000000000000000,100000000001905080000000000000000000000,100000054856006370000000000000000,99999943827451100000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000019032,319999999999999900000000000000000000,99999998158304440000000000000000000000,100000055207645880000000000000000,99999943467372050000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000019154,319999999999999900000000000000000000,100000000001926610000000000000000000000,100000055559288480000000000000000,99999943107290220000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000019276,319999999999999900000000000000000000,99999998158326000000000000000000000000,100000055910928000000000000000000,99999942747211160000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000019398,319999999999999900000000000000000000,100000000001952280000000000000000000000,100000056262570600000000000000000,99999942387129330000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000019520000000000002,319999999999999900000000000000000000,99999998158351650000000000000000000000,100000056614210110000000000000000,99999942027050270000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000019642000000000002,319999999999999900000000000000000000,100000000001976210000000000000000000000,100000056965852720000000000000000,99999941666968440000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000019764000000000002,319999999999999900000000000000000000,99999998158379800000000000000000000000,100000057317492230000000000000000,99999941306889380000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000019886000000000002,319999999999999900000000000000000000,100000000002002940000000000000000000000,100000057669134840000000000000000,99999940946807550000000000000000000,0.9999998874648379,0.785877208489073
