time(s),avg_energy(J/m^3),avg_photon(m^-3)
63.800000000000004,93809.58073000338,10000000000
63.900000000000006,93800.19977195768,10000000000
64,93790.81975197529,10000000000
64.10000000000001,93781.4406700033,10000000000
64.2,93772.06252591044,10000000000
64.3,93762.68531966276,10000000000
64.4,93753.30905114753,10000000000
64.5,93743.9337202311,10000000000
64.60000000000001,93734.55932687661,10000000000
64.7,93725.18587092038,10000000000
64.8,93715.81335234578,10000000000
64.9,93706.44177102027,10000000000
65,93697.07112682078,10000000000
65.10000000000001,93687.70141971164,10000000000
65.2,93678.33264958057,10000000000
65.3,93668.96481632182,10000000000
65.4,93659.59791982229,10000000000
65.5,93650.23196004819,10000000000
65.60000000000001,93640.86693683555,10000000000
65.7,93631.50285016422,10000000000
65.8,93622.13969985138,10000000000
65.9,93612.77748588208,10000000000
66,93603.41620814736,10000000000
66.10000000000001,93594.05586651443,10000000000
66.2,93584.69646095164,10000000000
66.3,93575.33799127834,10000000000
66.4,93565.9804575021,10000000000
66.5,93556.6238594396,10000000000
66.60000000000001,93547.2681970595,10000000000
66.7,93537.91347023616,10000000000
66.8,93528.55967890348,10000000000
66.9,93519.20682291289,10000000000
67,93509.85490225689,10000000000
67.10000000000001,93500.50391674256,10000000000
67.2,93491.15386636948,10000000000
67.3,93481.80475096147,10000000000
67.4,93472.45657050397,10000000000
67.5,93463.10932482344,10000000000
67.60000000000001,93453.76301391814,10000000000
67.7,93444.41763759514,10000000000
67.8,93435.07319582564,10000000000
67.9,93425.72968852505,10000000000
68,93416.38711556295,10000000000
68.10000000000001,93407.04547683455,10000000000
68.2,93397.70477231036,10000000000
68.3,93388.36500180623,10000000000
68.4,93379.02616532551,10000000000
68.5,93369.68826270102,10000000000
68.60000000000001,93360.35129388116,10000000000
68.7,93351.01525875425,10000000000
68.8,93341.68015721726,10000000000
68.9,93332.34598921721,10000000000
69,93323.0127545997,10000000000
69.10000000000001,93313.68045331116,10000000000
69.2,93304.34908529063,10000000000
69.3,93295.01865037839,10000000000
69.4,93285.68914851255,10000000000
69.5,93276.3605796072,10000000000
69.60000000000001,93267.03294352793,10000000000
69.7,93257.7062402541,10000000000
69.8,93248.38046960348,10000000000
69.9,93239.05563156062,10000000000
70,93229.73172601567,10000000000
70.10000000000001,93220.40875283189,10000000000
70.2,93211.08671196802,10000000000
70.3,93201.76560330123,10000000000
70.4,93192.44542671308,10000000000
70.5,93183.12618219599,10000000000
70.60000000000001,93173.80786955624,10000000000
70.7,93164.49048877027,10000000000
70.8,93155.17403972369,10000000000
70.9,93145.8585223283,10000000000
71,93136.54393648834,10000000000
71.10000000000001,93127.23028207093,10000000000
71.2,93117.91755903825,10000000000
71.3,93108.60576729085,10000000000
71.4,93099.29490673277,10000000000
71.5,93089.98497724265,10000000000
71.60000000000001,93080.67597873947,10000000000
71.7,93071.36791113317,10000000000
71.8,93062.06077433455,10000000000
71.9,93052.75456825964,10000000000
72,93043.44929281124,10000000000
72.10000000000001,93034.14494788583,10000000000
72.2,93024.84153338955,10000000000
72.3,93015.53904923497,10000000000
72.4,93006.23749531335,10000000000
72.5,92996.93687156949,10000000000
72.60000000000001,92987.63717790184,10000000000
72.7,92978.33841418361,10000000000
72.8,92969.04058031569,10000000000
72.9,92959.74367627251,10000000000
73,92950.44770192078,10000000000
73.10000000000001,92941.15265714315,10000000000
73.2,92931.8585418564,10000000000
73.3,92922.56535601616,10000000000
73.4,92913.27309946546,10000000000
73.5,92903.98177218171,10000000000
73.60000000000001,92894.69137398517,10000000000
73.7,92885.40190485422,10000000000
73.8,92876.11336466417,10000000000
73.9,92866.82575333105,10000000000
74,92857.53907073617,10000000000
74.10000000000001,92848.2533168468,10000000000
74.2,92838.96849151982,10000000000
74.3,92829.68459466405,10000000000
74.4,92820.40162621919,10000000000
74.5,92811.11958603332,10000000000
74.60000000000001,92801.83847407621,10000000000
74.7,92792.5582902426,10000000000
74.8,92783.27903440861,10000000000
74.9,92774.00070651287,10000000000
75,92764.72330642567,10000000000
75.10000000000001,92755.4468340955,10000000000
75.2,92746.17128943383,10000000000
75.3,92736.89667228376,10000000000
75.4,92727.62298262135,10000000000
75.5,92718.35022032278,10000000000
75.60000000000001,92709.07838531212,10000000000
75.7,92699.80747747216,10000000000
